koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_disposition
8.0428575,9.504,18730.0,,2522.0,6718.53,8286.0,,,FALSE POSITIVE
4.0157492,2.706,1150.0,6.47219,1417.0,669.61,6585.0,3.94,2.07,FALSE POSITIVE
2.01976,3.394,3963.85,7.3626,2444.0,5926.69,7274.6,4.18,1.72,FALSE POSITIVE
1.748054,2.122,670.0,,,,,,,FALSE POSITIVE
2.65646,2.475,773.369,12.1711,1545.0,948.066,6135.4,3.4,3.98,FALSE POSITIVE
2.65688,2.615,1959.88,,,,,,,FALSE POSITIVE
4.7201912,4.416,6710.0,15.2105,1609.0,1112.85,6696.0,4.08,1.8,CONFIRMED
4.03349,2.684,1530.0,23.4514,2400.0,5512.68,11348.0,,6.37,FALSE POSITIVE
3.3295394,2.77,2620.0,14.3988,1916.0,2238.0,7965.0,3.98,2.35,FALSE POSITIVE
3.8615978,1.678,1020.0,13.8394,1933.0,2320.32,7396.0,3.89,2.45,FALSE POSITIVE
95.174,11.6316864,2600.061605,7.8498891,254.6525048,0.9938316,5723.2,3.6,1.51811,CONFIRMED
8.8803281,2.71,1238.0,3.20594,777.0,60.7382,5555.7,4.49,0.92,CONFIRMED
28.580474,4.5139977,1081.396943,3.1455035,545.0001759,20.8500726,5555.7,4.49,0.920435,CONFIRMED
38.3511223,5.9120193,1029.0917261,3.2843583,494.1094771,14.086845,5555.7,4.49,0.920435,CONFIRMED
1.4015183,1.1583061,593.7540922,1.4616853,891.6389885,149.3747543,3794.0,4.67812,0.597007,CONFIRMED
8.5874668,5.1458902,1904.8131484,5.3744721,895.5943008,152.0429498,5929.0,4.48275,0.987583,FALSE POSITIVE
6.4474918,2.643,9270.0,48.9878,1443.0,720.601,6477.6,4.13,1.69,FALSE POSITIVE
1.4136455,1.448,2427.0,,2358.0,5133.26,5869.0,,,FALSE POSITIVE
3.4040139,4.837,935.0,5.34279,4701.0,81123.4,9622.0,4.39,1.65,FALSE POSITIVE
13.7432169,2.73,5046.0,25.7481,1015.0,176.671,5941.5,4.23,1.4,FALSE POSITIVE
5.5025577,3.1711008,844.7022676,2.7049797,811.847988,102.6644008,4965.0,4.56,0.784109,CONFIRMED
1.7622537,0.8779711,733.5550822,2.5235818,1186.6066429,468.5415425,4965.0,4.56,0.784109,CONFIRMED
0.8474218,0.8758764,424.3932848,1.7536544,1678.5549814,1876.1315489,5300.0,4.56,0.846387,CONFIRMED
4.8420438,2.4105648,318.6638392,1.6177405,938.9141348,183.6641995,5300.0,4.56,0.846387,CONFIRMED
2.14056,2.029,355.8315803,1.83828,1174.0,316.156,4567.0,4.39,0.84,FALSE POSITIVE
4.1269046,4.405,10831.0,17.0952,1715.0,1436.49,6888.0,4.23416,1.59,CONFIRMED
4.4350025,2.252,2085.0,9.91393,2535.0,6855.78,9706.0,4.29,1.87,FALSE POSITIVE
1.4287976,2.93,1768.0,9.00484,5621.0,165726.0,9224.0,4.37,1.65,FALSE POSITIVE
0.33759,1.351,529.0,2.96097,2725.0,9164.98,7387.0,4.39,1.37,FALSE POSITIVE
1.67346,2.54,390.0,5.10182,3304.0,19786.3,10445.0,4.09,2.45,FALSE POSITIVE
2.5152549,2.386,1870.0,13.4294,2311.0,4740.94,5915.0,3.82,2.11,FALSE POSITIVE
0.4628844,0.5588219,4489.9119215,1.3543237,723.3961549,64.718104,3043.0,5.09707,0.188624,CONFIRMED
0.70902,2.49,570.0,5.18865,4453.0,65312.0,8999.0,4.05,2.36,FALSE POSITIVE
9.6926509,2.819,1393.0,13.5133,1045.0,198.127,6012.0,3.39,3.51,FALSE POSITIVE
1.8286961,3.37,7283.0,21.4433,3235.0,18194.7,6046.3,4.43,1.23,FALSE POSITIVE
